sku;name_it;name_en;slug_it;slug_en;meta_title_it;meta_title_en;meta_description_it;meta_description_en;meta_key_it;meta_key_en;description_short_it;description_short_en;description_it;description_en;tags_it;tags_en;custom_1_it;custom_1_en;custom_2_it;custom_2_en;category_it;category_en;attachments_it;attachments_en;attachments_name_it;attachments_name_en;brand;is_active;images;accessories;price;qty;video;property;tax;parent_sku;code_article;is_evidenza;is_purchasable;name_variant;attributes;ean13;is_button_for_request;form_page_id
V10220;Posate da portata VINGA Retro;Posate da portata VINGA Retro;posate-da-portata-vinga-retro-10220;posate-da-portata-vinga-retro-10220;;;;;;;;;Posate da portata in acciaio con manici in rovere. Un design classico e minimalista in puro stile scandinavo. Gli utensili sono perfetti per tutte le occasioni, sia a cena che a pranzo. Confezionate in un'esclusiva scatola regalo.;Posate da portata in acciaio con manici in rovere. Un design classico e minimalista in puro stile scandinavo. Gli utensili sono perfetti per tutte le occasioni, sia a cena che a pranzo. Confezionate in un'esclusiva scatola regalo.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/10220__S_0__1d8e5120914243b7ad7a3f31a1a35d7f.jpg;;12.29;1000;;;22.00;V10220;;0;1;;;;0;
V10223;Set formaggi VINGA Retro;Set formaggi VINGA Retro;set-formaggi-vinga-retro-10223;set-formaggi-vinga-retro-10223;;;;;;;;;Il regalo perfetto per gli amanti del formaggio. Un set completo da tre coltelli da formaggio per tagliare, affettare, servire e spalmare tutti i tipi di formaggio a pasta dura e molle. Questo elegante set di coltelli da formaggio è dotato di manici in legno di frassino e lame in acciaio inossidabile che aggiungono un tocco di stile.;Il regalo perfetto per gli amanti del formaggio. Un set completo da tre coltelli da formaggio per tagliare, affettare, servire e spalmare tutti i tipi di formaggio a pasta dura e molle. Questo elegante set di coltelli da formaggio è dotato di manici in legno di frassino e lame in acciaio inossidabile che aggiungono un tocco di stile.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/10223__S_0__085f4f1a08e74ec3bba6f8731e165409.jpg;;12.54;1000;;;22.00;V10223;;0;1;;;;0;
V10322;Strofinacci VINGA Cromer waffle, 2 pezzi;Strofinacci VINGA Cromer waffle, 2 pezzi;strofinacci-vinga-cromer-waffle-2-pezzi-v10322;strofinacci-vinga-cromer-waffle-2-pezzi-v10322;;;;;;;;;Un set di due strofinacci in 100% cotone. Sono caratterizzati da un design a forma di waffle, che unisce aspetto e qualità eccezionali, perfetti per pulire la cucina o asciugarsi le mani.;Un set di due strofinacci in 100% cotone. Sono caratterizzati da un design a forma di waffle, che unisce aspetto e qualità eccezionali, perfetti per pulire la cucina o asciugarsi le mani.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/103220__S_0__308a1a2cc7ef4bdb85f5eb034891c205.jpg;;11.3;1000;;;22.00;V10322;;0;1;;;;0;
V10322_103220;Strofinacci VINGA Cromer waffle, 2 pezzi;Strofinacci VINGA Cromer waffle, 2 pezzi;strofinacci-vinga-cromer-waffle-2-pezzi-v10322-103220;strofinacci-vinga-cromer-waffle-2-pezzi-v10322-103220;;;;;;;;;Un set di due strofinacci in 100% cotone. Sono caratterizzati da un design a forma di waffle, che unisce aspetto e qualità eccezionali, perfetti per pulire la cucina o asciugarsi le mani.;Un set di due strofinacci in 100% cotone. Sono caratterizzati da un design a forma di waffle, che unisce aspetto e qualità eccezionali, perfetti per pulire la cucina o asciugarsi le mani.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/103220__S_0__308a1a2cc7ef4bdb85f5eb034891c205.jpg;;11.3;1000;;;22.00;V10322;;0;1;;Colori|grigio;;0;
V10322_103221;Strofinacci VINGA Cromer waffle, 2 pezzi;Strofinacci VINGA Cromer waffle, 2 pezzi;strofinacci-vinga-cromer-waffle-2-pezzi-v10322-103221;strofinacci-vinga-cromer-waffle-2-pezzi-v10322-103221;;;;;;;;;Un set di due strofinacci in 100% cotone. Sono caratterizzati da un design a forma di waffle, che unisce aspetto e qualità eccezionali, perfetti per pulire la cucina o asciugarsi le mani.;Un set di due strofinacci in 100% cotone. Sono caratterizzati da un design a forma di waffle, che unisce aspetto e qualità eccezionali, perfetti per pulire la cucina o asciugarsi le mani.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/103221__S_0__0cd04ba92d704cdab7739a6a8241d6de.jpg;;11.3;1000;;;22.00;V10322;;0;1;;Colori|nero;;0;
V10322_103222;Strofinacci VINGA Cromer waffle, 2 pezzi;Strofinacci VINGA Cromer waffle, 2 pezzi;strofinacci-vinga-cromer-waffle-2-pezzi-v10322-103222;strofinacci-vinga-cromer-waffle-2-pezzi-v10322-103222;;;;;;;;;Un set di due strofinacci in 100% cotone. Sono caratterizzati da un design a forma di waffle, che unisce aspetto e qualità eccezionali, perfetti per pulire la cucina o asciugarsi le mani.;Un set di due strofinacci in 100% cotone. Sono caratterizzati da un design a forma di waffle, che unisce aspetto e qualità eccezionali, perfetti per pulire la cucina o asciugarsi le mani.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/103222__S_0__85b7bdd5a41d484fa7e02c5ac3d159b6.jpg;;11.3;1000;;;22.00;V10322;;0;1;;Colori|verde;;0;
V10323;Strofinacci VINGA Cromer waffle, 2 pezzi;Strofinacci VINGA Cromer waffle, 2 pezzi;strofinacci-vinga-cromer-waffle-2-pezzi-v10323;strofinacci-vinga-cromer-waffle-2-pezzi-v10323;;;;;;;;;Un set di due strofinacci in 100% cotone. Sono caratterizzati da un design a forma di waffle, che unisce aspetto e qualità eccezionali, perfetti per pulire la cucina o asciugarsi le mani.;Un set di due strofinacci in 100% cotone. Sono caratterizzati da un design a forma di waffle, che unisce aspetto e qualità eccezionali, perfetti per pulire la cucina o asciugarsi le mani.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/103231__S_0__f3cc0c2cc00e4362bf9cdf225a64146b.jpg;;9.14;1000;;;22.00;V10323;;0;1;;;;0;
V10323_103231;Strofinacci VINGA Cromer waffle, 2 pezzi;Strofinacci VINGA Cromer waffle, 2 pezzi;strofinacci-vinga-cromer-waffle-2-pezzi-v10323-103231;strofinacci-vinga-cromer-waffle-2-pezzi-v10323-103231;;;;;;;;;Un set di due strofinacci in 100% cotone. Sono caratterizzati da un design a forma di waffle, che unisce aspetto e qualità eccezionali, perfetti per pulire la cucina o asciugarsi le mani.;Un set di due strofinacci in 100% cotone. Sono caratterizzati da un design a forma di waffle, che unisce aspetto e qualità eccezionali, perfetti per pulire la cucina o asciugarsi le mani.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/103231__S_0__f3cc0c2cc00e4362bf9cdf225a64146b.jpg;;9.14;1000;;;22.00;V10323;;0;1;;Colori|nero;;0;
V1601;Set filetto VINGA Kaiser;Set filetto VINGA Kaiser;set-filetto-vinga-kaiser-1601;set-filetto-vinga-kaiser-1601;;;;;;;;;Set per sfilettare il pesce composto da coltello, guanto in rete d'acciaio e saponetta in metallo. Il guanto offre una presa extra sul pesce proteggendoti da eventuali incidenti. Il sapone metallico rimuove facilmete gli odori del pesce e delle cipolle. Il coltello è realizzato in acciaio tedesco X50CrMoV15 con manico in Pakkawood. L'impugnatura di facile presa e l'eccezionale equilibrio della lama rendono il coltello comodo e facile da usare. Dimensioni: lama da 21 cm.;Set per sfilettare il pesce composto da coltello, guanto in rete d'acciaio e saponetta in metallo. Il guanto offre una presa extra sul pesce proteggendoti da eventuali incidenti. Il sapone metallico rimuove facilmete gli odori del pesce e delle cipolle. Il coltello è realizzato in acciaio tedesco X50CrMoV15 con manico in Pakkawood. L'impugnatura di facile presa e l'eccezionale equilibrio della lama rendono il coltello comodo e facile da usare. Dimensioni: lama da 21 cm.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/1601__S_0__335f722c47644f7a9e9a2629ad15b4a2.jpg;;23.31;1000;;;22.00;V1601;;0;1;;;;0;
V1650;Coltello da chef VINGA Kaiser;Coltello da chef VINGA Kaiser;coltello-da-chef-vinga-kaiser-1650;coltello-da-chef-vinga-kaiser-1650;;;;;;;;;Coltello da chef in acciaio tedesco X50CrMoV15 con manico in Pakkawood. L'impugnatura di facile presa e l'eccezionale equilibrio della lama rendono il coltello comodo e facile da usare. Dimensioni: lama da 20 cm.;Coltello da chef in acciaio tedesco X50CrMoV15 con manico in Pakkawood. L'impugnatura di facile presa e l'eccezionale equilibrio della lama rendono il coltello comodo e facile da usare. Dimensioni: lama da 20 cm.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/1650__S_0__2d1f83d9f22d4b9fb2bd81867c6745c8.jpg;;19.71;1000;;;22.00;V1650;;0;1;;;;0;
V1651;Coltello per pane VINGA Kaiser;Coltello per pane VINGA Kaiser;coltello-per-pane-vinga-kaiser-1651;coltello-per-pane-vinga-kaiser-1651;;;;;;;;;Coltello da pane in acciaio tedesco X50CrMoV15 con manico in Pakkawood. L'impugnatura di facile presa e l'eccezionale equilibrio della lama rendono il coltello comodo e facile da usare. Dimensioni: lama da 20 cm.;Coltello da pane in acciaio tedesco X50CrMoV15 con manico in Pakkawood. L'impugnatura di facile presa e l'eccezionale equilibrio della lama rendono il coltello comodo e facile da usare. Dimensioni: lama da 20 cm.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/1651__S_0__dd746921a4b148749753644e01b52080.jpg;;18.29;1000;;;22.00;V1651;;0;1;;;;0;
V16510;Coltello da chef VINGA Hattasan Damascus;Coltello da chef VINGA Hattasan Damascus;coltello-da-chef-vinga-hattasan-damascus-16510;coltello-da-chef-vinga-hattasan-damascus-16510;;;;;;;;;Questo coltello da chef è l'ideale per tagliare carne e verdure o per tritare erbe aromatiche. Il robusto manico in legno di pakka è progettato ergonomicamente, rendendo il coltello facile e comodo da usare. Ciò significa che puoi lavorare a lungo senza affaticare la mano. La lama ha un nucleo incredibilmente duro di acciaio VG10 che è fuso in 67 strati di acciaio. Il risultato è una lama durevole con un'incredibile affilatura e prestazioni di taglio eccezionali.;Questo coltello da chef è l'ideale per tagliare carne e verdure o per tritare erbe aromatiche. Il robusto manico in legno di pakka è progettato ergonomicamente, rendendo il coltello facile e comodo da usare. Ciò significa che puoi lavorare a lungo senza affaticare la mano. La lama ha un nucleo incredibilmente duro di acciaio VG10 che è fuso in 67 strati di acciaio. Il risultato è una lama durevole con un'incredibile affilatura e prestazioni di taglio eccezionali.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/16510__S_0__57c2c3cf5936450f87673fabb7292f6a.jpg;;44.76;1000;;;22.00;V16510;;0;1;;;;0;
V1653;Coltello VINGA Kaiser Santoku;Coltello VINGA Kaiser Santoku;coltello-vinga-kaiser-santoku-1653;coltello-vinga-kaiser-santoku-1653;;;;;;;;;Coltello Santoku in acciaio tedesco X50CrMoV15 con manico in Pakkawood. L'impugnatura di facile presa e l'eccezionale equilibrio della lama rendono il coltello comodo e facile da usare. Dimensioni: lama da 14 cm.;Coltello Santoku in acciaio tedesco X50CrMoV15 con manico in Pakkawood. L'impugnatura di facile presa e l'eccezionale equilibrio della lama rendono il coltello comodo e facile da usare. Dimensioni: lama da 14 cm.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/1653__S_0__fdc20c0dd1df4571bc910db4eec2831d.jpg;;15.41;1000;;;22.00;V1653;;0;1;;;;0;
V1654;Coltello da chef VINGA Hattasan;Coltello da chef VINGA Hattasan;coltello-da-chef-vinga-hattasan-1654;coltello-da-chef-vinga-hattasan-1654;;;;;;;;;Coltello da chef di alta qualità in acciaio giapponese (420 J2). Un coltello incredibilmente affilato che mantiene il filo a lungo. Ha una lama larga leggermente curva lungo il bordo. Un coltello versatile che può essere utilizzato per qualsiasi cosa, per sbucciare, tritare e affettare le verdure, e per tagliare la carne.;Coltello da chef di alta qualità in acciaio giapponese (420 J2). Un coltello incredibilmente affilato che mantiene il filo a lungo. Ha una lama larga leggermente curva lungo il bordo. Un coltello versatile che può essere utilizzato per qualsiasi cosa, per sbucciare, tritare e affettare le verdure, e per tagliare la carne.;;;;;;;Casa & Living,Accessori cucina;Casa & Living,Accessori cucina;;;;;;1;https://static.xdconnects.com/ProductImages/Large/1654__S_0__f31c5ee75b654819a3114186925e953e.jpg;;14.69;1000;;;22.00;V1654;;0;1;;;;0;
