idArticolo;codiceArticolo;subcodiceArticolo;codicecompletoArticolo;disponibilitàAttuale;descrizioneArticolo;descrizioneSubCodice;fotoTh;fotoHi;quantitaMininaOrdinabile;quantitaImballo;prezzoListino;prezzoQuantita1;prezzoQuantita2;categoriaArticolo;dataFutura1;qtaFutura1;impegnatoFuturo1;misureArticolo;materiale;imballoArticolo;sottimballoArticolo;imballoSingoloArticolo;pesoNettoArticolo;pesoLordoArticolo;altezzaImballo;larghezzaImballo;profonditaImballo;volumeImballo;voceDoganale;paeseOrigine;areaStampaArticolo;tipoStampa1Articolo;tipoStampa2Articolo;tipoStampa3Articolo;titoloArticolo;galleria
A00065;A00065;;A00065;100;* OROLOGIO LCD 5 FUNZIONI;;https://www.siliconsrl.it/media/catalog/product/a/0/a00065a.jpg;https://www.siliconsrl.it/media/catalog/product/a/0/a00065a.jpg;500/100;500/100;100;;;Orologi da polso;;;0;taglia unica;silicone;500;100;polybag;27;27;-0;-0;-0;-0;91021900;CINA;-0;-0;-0;-0;* OROLOGIO LCD 5 FUNZIONI ;https://www.siliconsrl.it/media/catalog/product/a/0/a00065a.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065b.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065g.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065n.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065ny.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065r.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065rs.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065sk.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065v.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065vl.jpg
A00065;A00065;LA;A00065LA;0;* OROLOGIO LCD 5 FUNZIONI;LA (lavanda);https://www.siliconsrl.it/media/catalog/product/a/0/a00065_la_1.jpg;https://www.siliconsrl.it/media/catalog/product/a/0/a00065_la_1.jpg;500/100;500/100;100;;;Orologi da polso;;0;0;taglia unica;silicone;500;100;polybag;27;27;-0;-0;-0;-0;91021900;CINA;-0;-0;-0;-0;* OROLOGIO LCD 5 FUNZIONI ;https://www.siliconsrl.it/media/catalog/product/a/0/a00065_la_1.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065_2_2_1.jpg
A00065;A00065;N;A00065N;0;* OROLOGIO LCD 5 FUNZIONI;N (nero);https://www.siliconsrl.it/media/catalog/product/a/0/a00065_n_1.jpg;https://www.siliconsrl.it/media/catalog/product/a/0/a00065_n_1.jpg;500/100;500/100;100;;;Orologi da polso;;0;0;taglia unica;silicone;500;100;polybag;27;27;-0;-0;-0;-0;91021900;CINA;-0;-0;-0;-0;* OROLOGIO LCD 5 FUNZIONI ;https://www.siliconsrl.it/media/catalog/product/a/0/a00065_n_1.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065_2_3_1.jpg
A00065;A00065;RS;A00065RS;0;* OROLOGIO LCD 5 FUNZIONI;RS (rosa);https://www.siliconsrl.it/media/catalog/product/a/0/a00065_rs_1.jpg;https://www.siliconsrl.it/media/catalog/product/a/0/a00065_rs_1.jpg;500/100;500/100;100;;;Orologi da polso;;0;0;taglia unica;silicone;500;100;polybag;27;27;-0;-0;-0;-0;91021900;CINA;-0;-0;-0;-0;* OROLOGIO LCD 5 FUNZIONI ;https://www.siliconsrl.it/media/catalog/product/a/0/a00065_rs_1.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065_3_1.jpg
A00065;A00065;B;A00065B;0;* OROLOGIO LCD 5 FUNZIONI;B (bianco);https://www.siliconsrl.it/media/catalog/product/a/0/a00065_b_1.jpg;https://www.siliconsrl.it/media/catalog/product/a/0/a00065_b_1.jpg;500/100;500/100;100;;;Orologi da polso;;0;0;taglia unica;silicone;500;100;polybag;27;27;-0;-0;-0;-0;91021900;CINA;-0;-0;-0;-0;* OROLOGIO LCD 5 FUNZIONI ;https://www.siliconsrl.it/media/catalog/product/a/0/a00065_b_1.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00065_2_1_1.jpg
A00069;A00069;;A00069;;* OROLOGIO LCD 5 FUNZIONI;;https://www.siliconsrl.it/media/catalog/product/a/0/a00069ny_2.jpg;https://www.siliconsrl.it/media/catalog/product/a/0/a00069ny_2.jpg;500/100;500/100;100;;;Orologi da polso;;;0;taglia unica;silicone;500;100;polybag;27;-0;-0;-0;-0;-0;91021900;-0;-0;-0;-0;-0;* OROLOGIO LCD 5 FUNZIONI ;https://www.siliconsrl.it/media/catalog/product/a/0/a00069ny_2.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00069rs_1.jpg,https://www.siliconsrl.it/media/catalog/product/a/0/a00069vl_1_1.jpg
A00069;A00069;NY;A00069NY;0;* OROLOGIO LCD 5 FUNZIONI;NY (blu navy);https://www.siliconsrl.it/media/catalog/product/a/0/a00069ny_2_1_1.jpg;https://www.siliconsrl.it/media/catalog/product/a/0/a00069ny_2_1_1.jpg;500/100;500/100;100;;;Orologi da polso;;0;0;taglia unica;silicone;500;100;polybag;27;-0;-0;-0;-0;-0;91021900;-0;-0;-0;-0;-0;* OROLOGIO LCD 5 FUNZIONI ;https://www.siliconsrl.it/media/catalog/product/a/0/a00069ny_2_1_1.jpg
A00069;A00069;RS;A00069RS;0;* OROLOGIO LCD 5 FUNZIONI;RS (rosa);https://www.siliconsrl.it/media/catalog/product/a/0/a00069rs_1_1_1.jpg;https://www.siliconsrl.it/media/catalog/product/a/0/a00069rs_1_1_1.jpg;500/100;500/100;100;;;Orologi da polso;;0;0;taglia unica;silicone;500;100;polybag;27;-0;-0;-0;-0;-0;91021900;-0;-0;-0;-0;-0;* OROLOGIO LCD 5 FUNZIONI ;https://www.siliconsrl.it/media/catalog/product/a/0/a00069rs_1_1_1.jpg
A00069;A00069;VL;A00069VL;0;* OROLOGIO LCD 5 FUNZIONI;VL (viola);https://www.siliconsrl.it/media/catalog/product/a/0/a00069vl_1_1_1_1.jpg;https://www.siliconsrl.it/media/catalog/product/a/0/a00069vl_1_1_1_1.jpg;500/100;500/100;100;;;Orologi da polso;;0;0;taglia unica;silicone;500;100;polybag;27;-0;-0;-0;-0;-0;91021900;-0;-0;-0;-0;-0;* OROLOGIO LCD 5 FUNZIONI ;https://www.siliconsrl.it/media/catalog/product/a/0/a00069vl_1_1_1_1.jpg
A00128;A00128;;A00128;;* CRONOMETRO DIGITALE;;https://www.siliconsrl.it/media/catalog/product/a/0/a00128tr_a_1.jpg;https://www.siliconsrl.it/media/catalog/product/a/0/a00128tr_a_1.jpg;100/50;100/50;100;;;Orologi multifunzione;;;0;8,5x5,3x1,7;plastica;100;50;polybag;80;-0;-0;-0;-0;-0;91069000;-0;-0;-0;-0;-0;* CRONOMETRO DIGITALE ;https://www.siliconsrl.it/media/catalog/product/a/0/a00128tr_a_1.jpg
A00128;A00128;TR/A;A00128TR/A;0;* CRONOMETRO DIGITALE;TR/A (trasparente/arancione);https://www.siliconsrl.it/media/catalog/product/a/0/a00128tr_a_2_1.jpg;https://www.siliconsrl.it/media/catalog/product/a/0/a00128tr_a_2_1.jpg;100/50;100/50;100;;;Orologi multifunzione;;0;0;8,5x5,3x1,7;plastica;100;50;polybag;80;-0;-0;-0;-0;-0;91069000;-0;-0;-0;-0;-0;* CRONOMETRO DIGITALE ;https://www.siliconsrl.it/media/catalog/product/a/0/a00128tr_a_2_1.jpg
B11000;B11000;;B11000;;con targhetta di carta (5,4x2,2 cm.) per la personalizzazione e catenella in metallo.;;https://www.siliconsrl.it/media/catalog/product/b/1/b11000b_1.jpg;https://www.siliconsrl.it/media/catalog/product/b/1/b11000b_1.jpg;1000/100;1000/100;100;;;Penne;;;0;11,2x2,9x0,5;plastica,metallo,carta;1000;100;sfuso;9;9;27;63;16;0.0272;96081099;CINA;50x18;STC1 - Stampa tampografica e confezionamento;-0;-0;* PENNA A SFERA ;https://www.siliconsrl.it/media/catalog/product/b/1/b11000b_1.jpg
B11000;B11000;N;B11000N;0;con targhetta di carta (5,4x2,2 cm.) per la personalizzazione e catenella in metallo.;N (nero);https://www.siliconsrl.it/media/catalog/product/b/1/b11000n_1.jpg;https://www.siliconsrl.it/media/catalog/product/b/1/b11000n_1.jpg;1000/100;1000/100;100;;;Penne;;0;0;11,2x2,9x0,5;plastica,metallo,carta;1000;100;sfuso;9;9;27;63;16;0.0272;96081099;CINA;50x18;STC1 - Stampa tampografica e confezionamento;-0;-0;* PENNA A SFERA ;https://www.siliconsrl.it/media/catalog/product/b/1/b11000n_1.jpg
B11000;B11000;B;B11000B;0;con targhetta di carta (5,4x2,2 cm.) per la personalizzazione e catenella in metallo.;B (bianco);https://www.siliconsrl.it/media/catalog/product/b/1/b11000b_1.jpg;https://www.siliconsrl.it/media/catalog/product/b/1/b11000b_1.jpg;1000/100;1000/100;100;;;Penne;;0;0;11,2x2,9x0,5;plastica,metallo,carta;1000;100;sfuso;9;9;27;63;16;0.0272;96081099;CINA;50x18;STC1 - Stampa tampografica e confezionamento;-0;-0;* PENNA A SFERA ;https://www.siliconsrl.it/media/catalog/product/b/1/b11000b_1.jpg
B11002;B11002;;B11002;;con chiusura a scatto.;;https://www.siliconsrl.it/media/catalog/product/b/1/b11002a_1.jpg;https://www.siliconsrl.it/media/catalog/product/b/1/b11002a_1.jpg;1000/100;1000/100;100;;;Penne;;;0;14,3;plastica;1000;100;sfuso;12;12;22;54.5;33;0.0396;96081099;CINA;40x7;ST - Stampa tampografica;-0;-0;* PENNA A SFERA ;https://www.siliconsrl.it/media/catalog/product/b/1/b11002a_1.jpg
B11002;B11002;V;B11002V;5654;con chiusura a scatto.;V (verde);https://www.siliconsrl.it/media/catalog/product/b/1/b11002v_1.jpg;https://www.siliconsrl.it/media/catalog/product/b/1/b11002v_1.jpg;1000/100;1000/100;100;;;Penne;;0;0;14,3;plastica;1000;100;sfuso;12;12;22;54.5;33;0.0396;96081099;CINA;40x7;ST - Stampa tampografica;-0;-0;* PENNA A SFERA ;https://www.siliconsrl.it/media/catalog/product/b/1/b11002v_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002v-dx_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002v-f_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002v-r_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002v-sx_1.jpg
B11002;B11002;A;B11002A;7494;con chiusura a scatto.;A (arancione);https://www.siliconsrl.it/media/catalog/product/b/1/b11002a_1.jpg;https://www.siliconsrl.it/media/catalog/product/b/1/b11002a_1.jpg;1000/100;1000/100;100;;;Penne;;0;0;14,3;plastica;1000;100;sfuso;12;12;22;54.5;33;0.0396;96081099;CINA;40x7;ST - Stampa tampografica;-0;-0;* PENNA A SFERA ;https://www.siliconsrl.it/media/catalog/product/b/1/b11002a_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002a-dx_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002a-f_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002a-r_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002a-sx_1.jpg
B11002;B11002;FU;B11002FU;6576;con chiusura a scatto.;FU (fucsia);https://www.siliconsrl.it/media/catalog/product/b/1/b11002fu_1.jpg;https://www.siliconsrl.it/media/catalog/product/b/1/b11002fu_1.jpg;1000/100;1000/100;100;;;Penne;;0;0;14,3;plastica;1000;100;sfuso;12;12;22;54.5;33;0.0396;96081099;CINA;40x7;ST - Stampa tampografica;-0;-0;* PENNA A SFERA ;https://www.siliconsrl.it/media/catalog/product/b/1/b11002fu_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002fu-dx_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002fu-f_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002fu-r_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002fu-sx_1.jpg
B11002;B11002;SK;B11002SK;2020;con chiusura a scatto.;SK (blu sky);https://www.siliconsrl.it/media/catalog/product/b/1/b11002sk_1.jpg;https://www.siliconsrl.it/media/catalog/product/b/1/b11002sk_1.jpg;1000/100;1000/100;100;;;Penne;;0;0;14,3;plastica;1000;100;sfuso;12;12;22;54.5;33;0.0396;96081099;CINA;40x7;ST - Stampa tampografica;-0;-0;* PENNA A SFERA ;https://www.siliconsrl.it/media/catalog/product/b/1/b11002sk_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002sk-dx_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002sk-f_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002sk-r_1.jpg,https://www.siliconsrl.it/media/catalog/product/b/1/b11002sk-sx_1.jpg
